time,N1,N2,N3,N4,N5,N6,N7
16.3,6970.06,4097.16,8674.51,9779.86,9842.3,5519.95,8734.53
16.35,6971.45,4098.55,8675.91,9781.23,9843.69,5521.34,8735.94
16.4,6972.84,4099.94,8677.31,9782.6,9845.07,5522.73,8737.34
16.45,6974.22,4101.33,8678.71,9783.98,9846.46,5524.13,8738.75
16.5,6975.61,4102.73,8680.11,9785.35,9847.85,5525.52,8740.15
16.55,6977,4104.12,8681.51,9786.72,9849.24,5526.92,8741.56
16.6,6978.39,4105.51,8682.91,9788.1,9850.63,5528.31,8742.96
16.65,6979.78,4106.9,8684.31,9789.47,9852.02,5529.71,8744.37
16.7,6981.17,4108.29,8685.71,9790.84,9853.41,5531.1,8745.77
16.75,6982.56,4109.69,8687.12,9792.22,9854.8,5532.5,8747.18
16.8,6983.95,4111.08,8688.52,9793.59,9856.19,5533.89,8748.58
16.85,6985.34,4112.47,8689.92,9794.96,9857.57,5535.28,8749.99
16.9,6986.72,4113.86,8691.32,9796.34,9858.96,5536.68,8751.39
16.95,6988.11,4115.25,8692.72,9797.71,9860.35,5538.07,8752.8
17,6989.5,4116.64,8694.12,9799.08,9861.74,5539.47,8754.2
17.05,6990.89,4118.04,8695.52,9800.46,9863.13,5540.86,8755.61
17.1,6992.28,4119.43,8696.92,9801.83,9864.52,5542.26,8757.01
17.15,6993.67,4120.82,8698.32,9803.2,9865.91,5543.65,8758.42
17.2,6995.06,4122.21,8699.73,9804.57,9867.3,5545.05,8759.82
17.25,6996.45,4123.6,8701.13,9805.95,9868.69,5546.44,8761.23
17.3,6997.84,4125,8702.53,9807.32,9870.07,5547.83,8762.63
17.35,6999.22,4126.39,8703.93,9808.69,9871.46,5549.23,8764.04
17.4,7000.61,4127.78,8705.33,9810.07,9872.85,5550.62,8765.44
17.45,7002,4129.17,8706.73,9811.44,9874.24,5552.02,8766.85
17.5,7003.39,4130.56,8708.13,9812.81,9875.63,5553.41,8768.25
17.55,7004.78,4131.96,8709.53,9814.19,9877.02,5554.81,8769.66
17.6,7006.17,4133.35,8710.93,9815.56,9878.41,5556.2,8771.06
17.65,7007.56,4134.74,8712.34,9816.93,9879.8,5557.6,8772.47
17.7,7008.95,4136.13,8713.74,9818.31,9881.19,5558.99,8773.87
17.75,7010.34,4137.52,8715.14,9819.68,9882.57,5560.38,8775.28
17.8,7011.72,4138.91,8716.54,9821.05,9883.96,5561.78,8776.68
17.85,7013.11,4140.31,8717.94,9822.43,9885.35,5563.17,8778.09
