time,N1,N2,N3,N4,N5,N6,N7,N8,N9
12.75,7012.94,6042.83,4828.73,7475.49,656.007,9761.01,423.058,2713.61,3300.36
12.8,7014.34,6044.22,4830.13,7476.89,657.396,9762.4,424.441,2715,3301.76
12.85,7015.75,6045.61,4831.52,7478.28,658.785,9763.79,425.824,2716.39,3303.17
12.9,7017.15,6047,4832.92,7479.67,660.173,9765.17,427.207,2717.78,3304.57
12.95,7018.56,6048.39,4834.31,7481.06,661.562,9766.56,428.59,2719.17,3305.97
13,7019.96,6049.78,4835.71,7482.46,662.951,9767.95,429.974,2720.56,3307.38
13.05,7021.36,6051.17,4837.1,7483.85,664.34,9769.34,431.357,2721.95,3308.78
13.1,7022.77,6052.56,4838.49,7485.24,665.729,9770.73,432.74,2723.34,3310.18
13.15,7024.17,6053.95,4839.89,7486.63,667.118,9772.12,434.123,2724.73,3311.59
13.2,7025.58,6055.33,4841.28,7488.03,668.507,9773.51,435.506,2726.12,3312.99
13.25,7026.98,6056.72,4842.68,7489.42,669.896,9774.89,436.889,2727.51,3314.39
13.3,7028.38,6058.11,4844.07,7490.81,671.285,9776.28,438.272,2728.9,3315.8
13.35,7029.79,6059.5,4845.46,7492.21,672.673,9777.67,439.655,2730.29,3317.2
13.4,7031.19,6060.89,4846.86,7493.6,674.062,9779.06,441.039,2731.69,3318.6
13.45,7032.6,6062.28,4848.25,7494.99,675.451,9780.45,442.422,2733.08,3320.01
13.5,7034,6063.67,4849.65,7496.38,676.84,9781.84,443.805,2734.47,3321.41
13.55,7035.41,6065.06,4851.04,7497.78,678.229,9783.22,445.188,2735.86,3322.82
13.6,7036.81,6066.45,4852.44,7499.17,679.618,9784.61,446.571,2737.25,3324.22
13.65,7038.21,6067.83,4853.83,7500.56,681.007,9786,447.954,2738.64,3325.62
13.7,7039.62,6069.22,4855.22,7501.95,682.396,9787.39,449.337,2740.03,3327.03
13.75,7041.02,6070.61,4856.62,7503.35,683.785,9788.78,450.721,2741.42,3328.43
13.8,7042.43,6072,4858.01,7504.74,685.173,9790.17,452.104,2742.81,3329.83
13.85,7043.83,6073.39,4859.41,7506.13,686.562,9791.55,453.487,2744.2,3331.24
13.9,7045.23,6074.78,4860.8,7507.53,687.951,9792.94,454.87,2745.59,3332.64
13.95,7046.64,6076.17,4862.19,7508.92,689.34,9794.33,456.253,2746.98,3334.04
14,7048.04,6077.56,4863.59,7510.31,690.729,9795.72,457.636,2748.37,3335.45
14.05,7049.45,6078.95,4864.98,7511.7,692.118,9797.11,459.019,2749.76,3336.85
14.1,7050.85,6080.33,4866.38,7513.1,693.507,9798.5,460.403,2751.15,3338.25
14.15,7052.25,6081.72,4867.77,7514.49,694.896,9799.89,461.786,2752.54,3339.66
14.2,7053.66,6083.11,4869.17,7515.88,696.285,9801.27,463.169,2753.93,3341.06
14.25,7055.06,6084.5,4870.56,7517.27,697.673,9802.66,464.552,2755.32,3342.46
14.3,7056.47,6085.89,4871.95,7518.67,699.062,9804.05,465.935,2756.71,3343.87
14.35,7057.87,6087.28,4873.35,7520.06,700.451,9805.44,467.318,2758.1,3345.27
14.4,7059.28,6088.67,4874.74,7521.45,701.84,9806.83,468.701,2759.49,3346.67
14.45,7060.68,6090.06,4876.14,7522.85,703.229,9808.22,470.084,2760.88,3348.08
14.5,7062.08,6091.45,4877.53,7524.24,704.618,9809.6,471.468,2762.27,3349.48
14.55,7063.49,6092.83,4878.93,7525.63,706.007,9810.99,472.851,2763.66,3350.88
14.6,7064.89,6094.22,4880.32,7527.02,707.396,9812.38,474.234,2765.05,3352.29
14.65,7066.3,6095.61,4881.71,7528.42,708.785,9813.77,475.617,2766.44,3353.69
14.7,7067.7,6097,4883.11,7529.81,710.173,9815.16,477,2767.83,3355.09
14.75,7069.1,6098.39,4884.5,7531.2,711.562,9816.55,478.383,2769.22,3356.5
