time,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15
7.75,5162.21,3233.5,1098.93,6789.05,7918.53,8722.97,3160.27,1.81619,4198.61,2234.35,5260.31,6969.45,8833.09,697.154,8209.49
7.8,5163.58,3234.89,1100.32,6790.43,7919.92,8724.36,3161.66,3.20741,4200,2235.77,5261.7,6970.85,8834.48,698.559,8210.88
7.85,5164.95,3236.29,1101.71,6791.8,7921.31,8725.76,3163.05,4.59863,4201.39,2237.18,5263.08,6972.25,8835.87,699.963,8212.27
7.9,5166.31,3237.68,1103.1,6793.18,7922.7,8727.15,3164.45,5.98985,4202.78,2238.59,5264.47,6973.65,8837.26,701.368,8213.66
7.95,5167.68,3239.07,1104.49,6794.55,7924.09,8728.54,3165.84,7.38107,4204.17,2240.01,5265.86,6975.05,8838.65,702.773,8215.06
8,5169.05,3240.47,1105.88,6795.93,7925.49,8729.93,3167.23,8.77229,4205.55,2241.42,5267.25,6976.45,8840.04,704.177,8216.45
8.05,5170.42,3241.86,1107.27,6797.31,7926.88,8731.32,3168.63,10.1635,4206.94,2242.83,5268.64,6977.85,8841.43,705.582,8217.84
8.1,5171.79,3243.25,1108.66,6798.68,7928.27,8732.71,3170.02,11.5547,4208.33,2244.25,5270.03,6979.25,8842.82,706.986,8219.23
8.15,5173.15,3244.65,1110.05,6800.06,7929.66,8734.1,3171.41,12.946,4209.72,2245.66,5271.42,6980.65,8844.2,708.391,8220.62
8.2,5174.52,3246.04,1111.43,6801.43,7931.05,8735.49,3172.81,14.3372,4211.11,2247.08,5272.81,6982.04,8845.59,709.796,8222.01
8.25,5175.89,3247.44,1112.82,6802.81,7932.44,8736.88,3174.2,15.7284,4212.5,2248.49,5274.19,6983.44,8846.98,711.2,8223.4
8.3,5177.26,3248.83,1114.21,6804.18,7933.83,8738.28,3175.6,17.1196,4213.89,2249.9,5275.58,6984.84,8848.37,712.605,8224.79
8.35,5178.63,3250.22,1115.6,6805.56,7935.23,8739.67,3176.99,18.5108,4215.28,2251.32,5276.97,6986.24,8849.76,714.01,8226.18
8.4,5179.99,3251.62,1116.99,6806.94,7936.62,8741.06,3178.38,19.9021,4216.67,2252.73,5278.36,6987.64,8851.15,715.414,8227.58
8.45,5181.36,3253.01,1118.38,6808.31,7938.01,8742.45,3179.78,21.2933,4218.05,2254.15,5279.75,6989.04,8852.54,716.819,8228.97
8.5,5182.73,3254.41,1119.77,6809.69,7939.4,8743.84,3181.17,22.6845,4219.44,2255.56,5281.14,6990.44,8853.93,718.223,8230.36
8.55,5184.1,3255.8,1121.16,6811.06,7940.79,8745.23,3182.56,24.0757,4220.83,2256.97,5282.53,6991.84,8855.32,719.628,8231.75
8.6,5185.47,3257.19,1122.55,6812.44,7942.18,8746.62,3183.96,25.4669,4222.22,2258.39,5283.92,6993.24,8856.7,721.033,8233.14
8.65,5186.83,3258.59,1123.93,6813.81,7943.57,8748.01,3185.35,26.8582,4223.61,2259.8,5285.3,6994.64,8858.09,722.437,8234.53
8.7,5188.2,3259.98,1125.32,6815.19,7944.96,8749.4,3186.74,28.2494,4225,2261.21,5286.69,6996.04,8859.48,723.842,8235.92
8.75,5189.57,3261.38,1126.71,6816.57,7946.36,8750.79,3188.14,29.6406,4226.39,2262.63,5288.08,6997.44,8860.87,725.247,8237.31
8.8,5190.94,3262.77,1128.1,6817.94,7947.75,8752.19,3189.53,31.0318,4227.78,2264.04,5289.47,6998.84,8862.26,726.651,8238.7
