time,N1
61.85,600.015
61.9,601.411
61.95,602.807
62,604.203
62.05,605.599
62.1,606.995
62.15,608.391
62.2,609.787
62.25,611.183
62.3,612.579
62.35,613.976
62.4,615.372
62.45,616.768
62.5,618.164
62.55,619.56
62.6,620.956
62.65,622.352
62.7,623.748
62.75,625.144
62.8,626.54
62.85,627.936
62.9,629.332
62.95,630.728
63,632.124
63.05,633.52
63.1,634.916
63.15,636.313
63.2,637.709
63.25,639.105
63.3,640.501
63.35,641.897
63.4,643.293
63.45,644.689
63.5,646.085
63.55,647.481
63.6,648.877
63.65,650.273
63.7,651.669
63.75,653.065
63.8,654.461
63.85,655.857
63.9,657.253
63.95,658.649
64,660.046
64.05,661.442
64.1,662.838
64.15,664.234
64.2,665.63
64.25,667.026
64.3,668.422
64.35,669.818
64.4,671.214
64.45,672.61
64.5,674.006
64.55,675.402
64.6,676.798
64.65,678.194
64.7,679.59
64.75,680.986
64.8,682.382
64.85,683.779
64.9,685.175
64.95,686.571
65,687.967
65.05,689.363
65.1,690.759
65.15,692.155
65.2,693.551
65.25,694.947
65.3,696.343
65.35,697.739
65.4,699.135
65.45,700.531
65.5,701.927
65.55,703.323
65.6,704.719
65.65,706.115
65.7,707.512
65.75,708.908
65.8,710.304
65.85,711.7
65.9,713.096
65.95,714.492
66,715.888
66.05,717.284
66.1,718.68
66.15,720.076
66.2,721.472
66.25,722.868
66.3,724.264
66.35,725.66
66.4,727.056
66.45,728.452
66.5,729.848
66.55,731.244
66.6,732.641
66.65,734.037
66.7,735.433
66.75,736.829
66.8,738.225
66.85,739.621
66.9,741.017
66.95,742.413
67,743.809
67.05,745.205
67.1,746.601
67.15,747.997
67.2,749.393
67.25,750.789
67.3,752.185
67.35,753.581
67.4,754.977
67.45,756.373
67.5,757.769
67.55,759.166
67.6,760.562
67.65,761.958
67.7,763.354
67.75,764.75
67.8,766.146
67.85,767.542
67.9,768.938
67.95,770.334
68,771.73
68.05,773.126
68.1,774.522
68.15,775.918
68.2,777.314
68.25,778.71
68.3,780.106
68.35,781.502
68.4,782.898
68.45,784.294
68.5,785.691
68.55,787.087
68.6,788.483
68.65,789.879
68.7,791.275
68.75,792.671
68.8,794.067
68.85,795.463
68.9,796.859
68.95,798.255
69,799.651
69.05,801.047
69.1,802.443
69.15,803.839
69.2,805.235
69.25,806.631
69.3,808.027
69.35,809.423
69.4,810.819
69.45,812.215
69.5,813.612
69.55,815.008
69.6,816.404
69.65,817.8
69.7,819.196
69.75,820.592
69.8,821.988
69.85,823.384
69.9,824.78
69.95,826.176
70,827.572
70.05,828.968
70.1,830.364
70.15,831.76
70.2,833.156
70.25,834.552
70.3,835.948
70.35,837.344
70.4,838.74
70.45,840.136
70.5,841.533
70.55,842.929
70.6,844.325
70.65,845.721
70.7,847.117
70.75,848.513
70.8,849.909
70.85,851.305
70.9,852.701
70.95,854.097
71,855.493
71.05,856.889
71.1,858.285
71.15,859.681
71.2,861.077
71.25,862.473
71.3,863.869
71.35,865.265
71.4,866.661
71.45,868.057
71.5,869.453
71.55,870.849
71.6,872.246
71.65,873.642
71.7,875.038
71.75,876.434
71.8,877.83
71.85,879.226
71.9,880.622
71.95,882.018
72,883.414
72.05,884.81
72.1,886.206
72.15,887.602
72.2,888.998
72.25,890.394
72.3,891.79
72.35,893.186
72.4,894.582
72.45,895.978
72.5,897.374
72.55,898.77
72.6,900.166
72.65,901.562
72.7,902.959
72.75,904.355
72.8,905.751
72.85,907.147
72.9,908.543
72.95,909.939
73,911.335
73.05,912.731
73.1,914.127
73.15,915.523
73.2,916.919
73.25,918.315
73.3,919.711
73.35,921.107
73.4,922.503
73.45,923.899
73.5,925.295
73.55,926.691
73.6,928.087
73.65,929.483
73.7,930.879
73.75,932.275
73.8,933.671
73.85,935.068
73.9,936.464
73.95,937.86
74,939.256
74.05,940.652
74.1,942.048
74.15,943.444
74.2,944.84
74.25,946.236
74.3,947.632
74.35,949.028
74.4,950.424
74.45,951.82
74.5,953.216
74.55,954.612
74.6,956.008
74.65,957.404
74.7,958.8
74.75,960.196
74.8,961.592
74.85,962.988
74.9,964.384
74.95,965.78
75,967.176
75.05,968.573
75.1,969.969
75.15,971.365
75.2,972.761
75.25,974.157
75.3,975.553
75.35,976.949
75.4,978.345
75.45,979.741
75.5,981.137
75.55,982.533
75.6,983.929
75.65,985.325
75.7,986.721
75.75,988.117
75.8,989.513
75.85,990.909
75.9,992.305
75.95,993.701
76,995.097
76.05,996.493
76.1,997.889
76.15,999.285
76.2,1000.68
76.25,1002.08
76.3,1003.47
76.35,1004.87
76.4,1006.27
76.45,1007.66
76.5,1009.06
76.55,1010.45
76.6,1011.85
76.65,1013.25
76.7,1014.64
76.75,1016.04
76.8,1017.43
76.85,1018.83
76.9,1020.23
76.95,1021.62
77,1023.02
77.05,1024.41
77.1,1025.81
77.15,1027.21
77.2,1028.6
77.25,1030
77.3,1031.39
77.35,1032.79
77.4,1034.19
77.45,1035.58
77.5,1036.98
